"id","marketSlug","detectedAt","eventType","severity","detail","is_true_positive","verification_notes"
"578","presidential-election-winner-2024","2024-09-18 23:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4685, 'window': 30, 'z_score': -2.9634232800307214, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"577","presidential-election-winner-2024","2024-09-18 22:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4715, 'window': 30, 'z_score': -2.721891097520782, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"576","presidential-election-winner-2024","2024-09-18 21:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4735, 'window': 30, 'z_score': -2.5237086300209017, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"575","presidential-election-winner-2024","2024-09-18 20:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.474, 'window': 30, 'z_score': -2.7580525860158778, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"574","presidential-election-winner-2024","2024-09-18 19:00:02+00:00","zscore_spike_manual","high","{'mode': 'manual_sql', 'price': 0.4725, 'window': 30, 'z_score': -4.009428294847533, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：高异常区间（|z|在[4,5)），需人工复核后定性。人工复核结论：按保守策略判定为 FALSE（缺少链上资金流/地址关联佐证）。"
"573","presidential-election-winner-2024","2024-09-18 18:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4765, 'window': 30, 'z_score': -3.1037527293270113, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"572","presidential-election-winner-2024","2024-09-17 18:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4805, 'window': 30, 'z_score': -1.9305200414731334, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"571","presidential-election-winner-2024","2024-09-17 17:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4805, 'window': 30, 'z_score': -2.1524822784661377, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"570","presidential-election-winner-2024","2024-09-17 16:00:03+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4805, 'window': 30, 'z_score': -2.444010450277304, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"569","presidential-election-winner-2024","2024-09-17 15:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4815, 'window': 30, 'z_score': -2.5361396707795003, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"568","presidential-election-winner-2024","2024-09-16 02:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.497, 'window': 30, 'z_score': 2.0465523264138668, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"567","presidential-election-winner-2024","2024-09-15 22:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4975, 'window': 30, 'z_score': 2.9472861482542534, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"566","presidential-election-winner-2024","2024-09-15 19:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4935, 'window': 30, 'z_score': 2.5196524857003304, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"565","presidential-election-winner-2024","2024-09-15 18:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.493, 'window': 30, 'z_score': 2.6393505854505444, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
"564","presidential-election-winner-2024","2024-09-15 13:00:02+00:00","zscore_spike_manual","medium","{'mode': 'manual_sql', 'price': 0.4825, 'window': 30, 'z_score': -3.03370352576182, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'presidential-election-winner-2024'}","false","自动分诊：中度异常区间（|z|在[2.5,4)），更可能由上下文或事件驱动。人工复核结论：判定为 FALSE（按正常波动/新闻重定价处理）。"
