id,marketSlug,detectedAt,eventType,severity,detail,is_true_positive,verification_notes
754,what-will-happen-before-gta-vi,2026-03-13 14:00:27+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.605, 'window': 30, 'z_score': 1.9608781495602436, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
852,will-trump-acquire-greenland-before-2027,2026-03-13 09:00:48+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.1015, 'window': 30, 'z_score': -1.6248131533678811, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
753,what-will-happen-before-gta-vi,2026-03-13 09:00:30+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.595, 'window': 30, 'z_score': 1.792009886978655, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
752,what-will-happen-before-gta-vi,2026-03-13 08:00:23+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.595, 'window': 30, 'z_score': 1.9722557297364556, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
751,what-will-happen-before-gta-vi,2026-03-13 07:00:33+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.605, 'window': 30, 'z_score': 3.2977264895689307, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
750,what-will-happen-before-gta-vi,2026-03-13 06:00:29+00:00,zscore_spike_manual,high,"{'mode': 'manual_sql', 'price': 0.605, 'window': 30, 'z_score': 4.356603322954993, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
851,will-trump-acquire-greenland-before-2027,2026-03-13 03:00:46+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.1025, 'window': 30, 'z_score': -1.7557407859125982, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
850,will-trump-acquire-greenland-before-2027,2026-03-13 02:00:36+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.1025, 'window': 30, 'z_score': -1.9245470394679312, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
849,will-trump-acquire-greenland-before-2027,2026-03-13 01:00:36+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.102, 'window': 30, 'z_score': -2.3382469936373713, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
848,will-trump-acquire-greenland-before-2027,2026-03-12 23:00:40+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.103, 'window': 30, 'z_score': -2.232527801964374, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
